MarketID,MarketName,EntryDate,CommodityID,CommodityName,ModalPrice,Arrival,Unit,Season
102,Rongjeng,11/06/2021,41,Ginger,2200,1.5,Quintal,March to Mid April
102,Rongjeng,02/09/2021,30,Turmeric(Raw),530,2,Quintal,March to Mid April
102,Rongjeng,02/09/2021,41,Ginger,720,15,Quintal,March to Mid April
102,Rongjeng,03/13/2021,41,Ginger,720,15,Quintal,March to Mid April
102,Rongjeng,09/18/2021,41,Ginger,2100,0.5,Quintal,March to Mid April
102,Rongjeng,01/25/2021,41,Ginger,1700,10,Quintal,March to Mid April
115,Samanda,03/01/2021,41,Ginger,825,10,Quintal,March to Mid April
115,Samanda,01/05/2021,41,Ginger,1750,8,Quintal,March to Mid April
115,Samanda,12/06/2021,41,Ginger,1600,1.5,Quintal,March to Mid April
115,Samanda,11/12/2020,41,Ginger,6250,20,Quintal,March to Mid April
115,Samanda,04/20/2021,41,Ginger,1100,5,Quintal,March to Mid April
115,Samanda,09/20/2021,41,Ginger,2250,0.5,Quintal,March to Mid April
115,Samanda,01/25/2021,41,Ginger,1700,8,Quintal,March to Mid April
115,Samanda,11/26/2021,41,Ginger,2250,1,Quintal,March to Mid April
115,Samanda,01/31/2022,41,Ginger,725,3,Quintal,March to Mid April
116,Rongsak,03/01/2021,41,Ginger,725,20,Quintal,March to Mid April
116,Rongsak,02/02/2021,41,Ginger,1200,10,Quintal,March to Mid April
116,Rongsak,12/02/2020,41,Ginger,3750,30,Quintal,March to Mid April
116,Rongsak,11/03/2021,41,Ginger,1700,1.5,Quintal,March to Mid April
116,Rongsak,10/05/2021,41,Ginger,2000,1.5,Quintal,March to Mid April
116,Rongsak,01/12/2021,30,Turmeric(Raw),1200,4,Quintal,March to Mid April
116,Rongsak,01/12/2021,41,Ginger,2250,5,Quintal,March to Mid April
116,Rongsak,09/14/2021,41,Ginger,1750,1.5,Quintal,March to Mid April
116,Rongsak,04/20/2021,30,Turmeric(Raw),775,5,Quintal,March to Mid April
116,Rongsak,04/20/2021,41,Ginger,1100,5,Quintal,March to Mid April
116,Rongsak,01/31/2022,30,Turmeric(Raw),450,4,Quintal,March to Mid April
116,Rongsak,01/31/2022,41,Ginger,700,6,Quintal,March to Mid April
118,Williamnagar,04/01/2017,41,Ginger,575,1500,Quintal,March to Mid April
118,Williamnagar,07/01/2017,41,Ginger,525,1000,Quintal,March to Mid April
118,Williamnagar,08/01/2016,41,Ginger,875,1400,Quintal,March to Mid April
118,Williamnagar,12/01/2020,41,Ginger,4100,30,Quintal,March to Mid April
118,Williamnagar,07/02/2016,41,Ginger,950,1200,Quintal,March to Mid April
118,Williamnagar,10/02/2021,41,Ginger,2250,1.5,Quintal,March to Mid April
118,Williamnagar,04/03/2021,41,Ginger,925,8,Quintal,March to Mid April
118,Williamnagar,06/03/2017,41,Ginger,525,1500,Quintal,March to Mid April
118,Williamnagar,02/04/2017,41,Ginger,525,500,Quintal,March to Mid April
118,Williamnagar,03/04/2017,41,Ginger,510,1000,Quintal,March to Mid April
118,Williamnagar,08/04/2018,41,Ginger,2050,120,Quintal,March to Mid April
118,Williamnagar,09/04/2020,41,Ginger,3450,20,Quintal,March to Mid April
118,Williamnagar,12/04/2021,41,Ginger,1750,2,Quintal,March to Mid April
118,Williamnagar,01/05/2021,41,Ginger,1750,7,Quintal,March to Mid April
118,Williamnagar,02/05/2022,30,Turmeric(Raw),550,7,Quintal,March to Mid April
118,Williamnagar,02/05/2022,41,Ginger,820,10,Quintal,March to Mid April
118,Williamnagar,03/05/2016,41,Ginger,800,650,Quintal,March to Mid April
118,Williamnagar,02/06/2016,41,Ginger,1450,700,Quintal,March to Mid April
118,Williamnagar,03/06/2021,41,Ginger,1250,15,Quintal,March to Mid April
118,Williamnagar,05/06/2017,41,Ginger,650,1800,Quintal,March to Mid April
